,pais,anio,inversion
776,MOZ,2022,1975.2948418
777,NAM,2022,945.0867063593
778,NLD,2022,-67340.3343428557
779,NCL,2022,696.3073455
780,NZL,2022,7538.7573921352
781,NIC,2022,1293.8
782,NER,2022,580.7370274791
783,NGA,2022,-186.7924289
784,NOR,2022,-3435.5550512072
785,OMN,2022,3715.6480278283
786,PAK,2022,1339.0
787,PAN,2022,2640.4232533
788,PNG,2022,326.7148607955
789,PRY,2022,473.5296986
790,PER,2022,11655.582069
791,PHL,2022,9199.94291
792,POL,2022,29461.8954191771
793,PRT,2022,9099.4033147856
794,QAT,2022,76.0989011
795,MDA,2022,587.3
796,ROU,2022,11272.9459238604
797,RUS,2022,-18681.12
798,RWA,2022,398.5993548
799,STP,2022,126.6038371
800,SAU,2022,7886.3419579
801,SEN,2022,2586.1799342661
802,SRB,2022,5465.4202400108
803,SYC,2022,212.0543627
804,SLE,2022,250.0
805,SGP,2022,141210.9668252014
806,SMX,2022,13.4619484916
807,SVK,2022,2905.4332335746
808,SVN,2022,1622.0260018702
809,SLB,2022,40.804077467
810,ZAF,2022,9051.1940893575
811,ESP,2022,34811.0725929421
812,LKA,2022,898.2952138
813,PSE,2022,232.9411621
814,SUR,2022,7.2837788
815,SWZ,2022,21.2040181618
816,SWE,2022,45963.0673591154
817,CHE,2022,13311.3012013619
818,THA,2022,10033.6581375
819,tfyr_de_macedonia,2022,793.8037623312
820,TLS,2022,262.459429
821,TON,2022,2.8674873
822,TTO,2022,-493.1265947
823,TUN,2022,713.3651243717
824,UGA,2022,1526.1891065
825,UKR,2022,848.0
826,ARE,2022,22736.5554799
827,GBR,2022,14093.3955543065
828,USA,2022,285057.0
829,URY,2022,3838.7455694
830,VEN,2022,941.3333333
831,VNM,2022,17900.0
832,YEM,2022,
833,ZMB,2022,115.899184
834,ZWE,2022,341.5
